Angola,Kazakhstan,1998,?,4,?,BM-21 Grad 122mm,self-propelled MRL,4,,1998,Second hand,Second-hand,0.24,0.96,0.96
Angola,Kazakhstan,1998,?,28,?,D-30 122mm,towed gun,28,,1998; 1999,Second hand,Second-hand,0.14,3.92,3.92
Angola,Kazakhstan,1998,?,24,,M-46 130mm,towed gun,24,,1999,Second hand,Ex-Kazakh,0.26,6.24,6.24
Botswana,Kenya,1990,?,4,,Strikemaster,trainer/combat aircraft,4,?,1991; 1993,Second hand,Second-hand; Strikemaster Mk-87 version,1,4,4
Brazil,Kuwait,1998,,23,,A-4M Skyhawk-2,FGA aircraft,23,,1998,Second hand,Second-hand; $72-83 m deal  (incl weapons); A-4KU version; incl 3 TA-4KU version; Brazilian designation AF-1 and AF-1A,4,92,92
Brazil,Kuwait,1998,,100,?,AIM-9D Sidewinder,SRAAM,100,?,1998,Second hand,Second-hand; AIM-9H version for A-4KU combat aircraft,0.03,2.8,2.8
Canada,Kyrgyzstan,2008,,6,,Mi-8T,transport helicopter,6,,2008,Second hand,Second-hand; leased via Canadian company; for use in Afghanistan,2.4,14.4,14.4
Chile,Kuwait,1980,?,2,?,Hunter,fighter aircraft,2,?,1980,Second hand,Second-hand; Hunter T-67 version,1.44,2.88,2.88
Congo,Kazakhstan,1999,?,3,,BM-21 Grad 122mm,self-propelled MRL,3,,1999; 2000,Second hand,Ex-Kazakh; recipient could be DRC,0.24,0.72,0.72
Croatia,Kyrgyzstan,2002,?,4,,MiG-21PFM,fighter aircraft,4,,2003,Second hand,Ex-Kyrgyz; MiG-21UM version; modernized to MiG-21UMD version in Romania before delivery,4,16,16
Ethiopia,Kazakhstan,1999,?,100,,D-30 122mm,towed gun,100,,2000,Second hand,Ex-Kazakh,0.14,14,14
Ethiopia,Kazakhstan,1999,?,6,,M-46 130mm,towed gun,6,,2000,Second hand,Ex-Kazakh,0.26,1.56,1.56
Georgia,Kazakhstan,2005,?,758,?,9M114 Kokon,anti-tank missile,758,,2006,Second hand,,0.01,6.06,6.06
India,Kazakhstan,1993,?,15,?,53-65,anti-ship torpedo,15,?,1997; 1998; 1999; 2000; 2001,New,For Delhi (Project-15) destroyers,1.1,16.5,16.5
India,Kyrgyzstan,1994,?,15,?,Mi-24P/Mi-35P,combat helicopter,15,,1995,Second hand,Second-hand; designation uncertain,3.6,54,54
India,Kyrgyzstan,2003,,19,,MiG-21PFM,fighter aircraft,19,?,2003,Second hand,Second-hand; MiG-21UM trainer version,4,76,76
India,Kyrgyzstan,2006,?,36,?,SET-65 Yenot-2,ASW torpedo,36,?,2006; 2007,New,Probably for Delhi (Project-15) destroyers and Talwar frigates; possibly assembled or produced in India,1,36,36
India,Kyrgyzstan,2011,?,14,?,SET-65 Yenot-2,ASW torpedo,14,?,2015; 2016; 2017,New,Possibly assembled or produced in India,1,14,14
Jordan,Kuwait,1967,,2,,Hunter,fighter aircraft,2,,1967,Second hand,Second-hand; Hunter T-66 trainer version,1.44,2.88,2.88
North Korea,Kazakhstan,1995,,24,,KS-19 100mm,AA gun,24,,1995,Second hand,Second-hand,0.24,5.76,5.76
North Korea,Kazakhstan,1995,,4,,SON-9,fire control radar,4,,1995,Second hand,Ex-Kazakh; for use with KS-19 100mm AA guns,0.24,0.96,0.96
Kyrgyzstan,Kazakhstan,2003,,2,,Mi-17,transport helicopter,2,,2004,Second hand,Ex-Kazakh; $3.5 m deal (financed by USA); Mi-8MTV version,2.9,5.8,5.8
North Macedonia,Kazakhstan,1998,,12,,BTR-80,APC,12,,1998,Second hand,Ex-Kazakh,0.14,1.68,1.68
Nepal,Kazakhstan,1999,?,2,,Mi-17,transport helicopter,2,,2001,Second hand but modernized,Second-hand; $5.8-7 m deal; modernized before delivery; for use against Maoist rebels; supplier could be Kyrgyzstan,4.79,9.57,9.57
Oman,Kuwait,1980,?,2,?,Hunter,fighter aircraft,2,?,1980,Second hand,Second-hand; Hunter T-67 (T-66) version,1.44,2.88,2.88
Serbia,Kazakhstan,1995,,226,,Igla-1,portable SAM,226,,1995,Second hand,Second-hand; deal incl also 57 launchers,0.03,6.33,6.33
Singapore,Kuwait,1984,,4,,Bell-205/UH-1D,helicopter,4,,1984,Second hand,Second-hand (modernized in Singapore after delivery); AB-205 version,0.88,3.52,3.52
Somalia,Kuwait,1979,?,30,?,Centurion-9,tank,30,?,1980,Second hand,Second-hand,0.7,21,21
Sri Lanka,Kazakhstan,1995,?,4,,An-24,transport aircraft,4,,1996,Second hand,Second-hand; lease; flown by Kazakh crew,3,12,12
Sudan,Kyrgyzstan,1994,?,1,?,Mi-24D/Mi-25,combat helicopter,1,?,1995,Second hand,Ex-Kyrgiz; no. could be 4,3.3,3.3,3.3
Zimbabwe,Kenya,1981,,5,,Hunter,FGA aircraft,5,,1981,Second hand,Second-hand; sold via UK company; Hunter FGA-80 version; incl 2 T-81 version,1.6,8,8