Burkina Faso,Qatar,2019,,24,,Storm,APC,24,,2019,New,Aid,0.12,2.88,2.88
Bosnia-Herzegovina,Qatar,1999,?,25,,AMX-10P,IFV,25,,1999,Second hand,Second-hand; aid,0.36,9,9
Cambodia,Qatar,2020,?,5,?,Storm,APC,5,?,2021,New,,0.12,0.6,0.6
Mexico,Qatar,2006,?,559,,MILAN,anti-tank missile,559,,2006,Second hand,Second-hand,0,2.24,2.24
Mali,Qatar,2018,,24,,Storm,APC,24,,2018,New,Aid,0.12,2.88,2.88
Morocco,Qatar,2020,?,6,?,Ejder Yalcin,APC,6,?,2021,New,Probably second-hand (but maximum 3-4 years old); aid,0.35,2.1,2.1
Oman,Qatar,1993,?,6,,Blindfire,fire control radar,6,,1993,Second hand,Second-hand; for use with Rapier SAM system,1,6,6
Oman,Qatar,1993,?,12,,Rapier,SAM system,12,,1993,Second hand,Second-hand,2.8,33.6,33.6
Pakistan,Qatar,2021,?,4,?,Sea King/Commando,transport helicopter,4,?,2021,Second hand,Second-hand; aid; several more delivered for spare parts,2.7,10.8,10.8
Somalia,Qatar,2018,,68,,Storm,APC,68,,2019,New,Aid,0.12,8.16,8.16
NTC (Libya)*,Qatar,2011,,50,?,MILAN,anti-tank missile,50,?,2011,Second hand,Second-hand; aid,0,0.2,0.2